Trade Date,Strike,Expiry Date,Call/Put,Last Trade Price,Bid Price,Ask Price,Bid Implied Volatility,Ask Implied Volatility,Open Interest,Volume,Delta,Gamma,Vega,Theta,Rho
2023-07-03,310,2023-07-21,c,98.01,97.74,98.34,0,0.6011,0,0,1,0,0,-0.0462,0.1536
2023-07-03,315,2023-07-21,c,95.09,94.8,95.41,0,0.5671,0,0,1,0,0,-0.047,0.1561
2023-07-03,320,2023-07-21,c,88.11,87.91,88.41,0,0.5338,18,0,1,0,0,-0.0477,0.1586
2023-07-03,325,2023-07-21,c,84.97,84.75,85.26,0,0.5009,0,0,1,0,0,-0.0485,0.161
2023-07-03,330,2023-07-21,c,78.06,77.85,78.34,0,0.4686,0,0,1,0,0,-0.0492,0.1635
2023-07-03,335,2023-07-21,c,73.74,73.5,74.1,0,0.4591,0,0,1,0,0,-0.05,0.166
2023-07-03,340,2023-07-21,c,68.18,68.03,68.52,0,0.4273,0,0,1,0,0,-0.0507,0.1685
2023-07-03,345,2023-07-21,c,63.76,63.6,64.1,0,0.396,0,0,1,0,0,-0.0515,0.1709
2023-07-03,350,2023-07-21,c,58.29,58.11,58.71,0,0.3821,0,0,0.9999,0,0.0005,-0.0524,0.1734
2023-07-03,355,2023-07-21,c,53.79,53.7,54.2,0,0.3504,0,0,0.9998,0,0.0007,-0.0532,0.1759
2023-07-03,360,2023-07-21,c,48.33,48.21,48.71,0,0.3192,3,0,0.9975,0.0004,0.0065,-0.0576,0.1779
2023-07-03,365,2023-07-21,c,43.84,43.7,44.2,0,0.2886,46,0,0.9963,0.0006,0.0111,-0.0596,0.1801
2023-07-03,370,2023-07-21,c,38.5,38.41,38.91,0,0.2705,144,0,0.9898,0.0015,0.0239,-0.0679,0.1812
2023-07-03,375,2023-07-21,c,33.97,33.9,34.3,0.1698,0.2392,92,0,0.9805,0.0027,0.0458,-0.0774,0.1818
2023-07-03,380,2023-07-21,c,28.76,28.56,29.06,0.1415,0.2176,254,6,0.9647,0.0046,0.0677,-0.0906,0.181
2023-07-03,385,2023-07-21,c,24.3,24,24.5,0.1406,0.1935,109,2,0.94,0.0074,0.1116,-0.1065,0.1784
2023-07-03,390,2023-07-21,c,19.35,18.88,19.47,0.1265,0.1731,357,1,0.9037,0.0114,0.1488,-0.1234,0.1734
2023-07-03,395,2023-07-21,c,14.69,14.4,14.9,0.1206,0.148,367,4,0.8535,0.0168,0.2102,-0.1366,0.1655
2023-07-03,400,2023-07-21,c,10.35,10.13,10.54,0.1139,0.1294,716,4,0.7771,0.0248,0.273,-0.1454,0.1522
2023-07-03,405,2023-07-21,c,6.17,6,6.4,0.1028,0.1147,643,23,0.6534,0.0359,0.3382,-0.1444,0.1292
2023-07-03,410,2023-07-21,c,3.14,3.04,3.24,0.0964,0.102,767,15,0.458,0.0436,0.3601,-0.1278,0.0912
2023-07-03,415,2023-07-21,c,1.31,1.25,1.35,0.0949,0.0984,446,39,0.2461,0.0366,0.2816,-0.0901,0.0493
2023-07-03,420,2023-07-21,c,0.5,0.46,0.51,0.0961,0.099,304,65,0.099,0.0207,0.1545,-0.0465,0.0199
2023-07-03,425,2023-07-21,c,0.17,0.15,0.2,0.0993,0.1049,118,6,0.0291,0.008,0.0589,-0.0169,0.0058
2023-07-03,430,2023-07-21,c,0.02,0,0.1,0,0.1151,333,7,0.0064,0.0022,0.0154,-0.0045,0.0013
2023-07-03,435,2023-07-21,c,0,0,0.74,0,0.203,29,0,0.0012,0.0005,0.0038,-0.001,0.0003
2023-07-03,440,2023-07-21,c,0,0,0.3,0,0.1899,93,0,0.0001,0.0001,0.0005,-0.0001,0
2023-07-03,445,2023-07-21,c,0,0,0.4,0,0.2248,18,0,0,0,0.0001,0,0
2023-07-03,450,2023-07-21,c,0,0,0.75,0,0.2823,4,0,0,0,0,0,0
2023-07-03,455,2023-07-21,c,0,0,0.74,0,0.3075,0,0,0,0,0,0,0
2023-07-03,460,2023-07-21,c,0,0,0.75,0,0.3314,13,0,0,0,0,0,0
2023-07-03,465,2023-07-21,c,0,0,0.74,0,0.3549,1,0,0,0,0,0,0
2023-07-03,470,2023-07-21,c,0,0,0.75,0,0.3781,0,0,0,0,0,0,0
2023-07-03,475,2023-07-21,c,0,0,0.74,0,0.4005,5,0,0,0,0,0,0
2023-07-03,480,2023-07-21,c,0,0,0.3,0,0.3603,6,0,0,0,0,0,0
2023-07-03,485,2023-07-21,c,0,0,0.74,0,0.4436,0,0,0,0,0,0,0
2023-07-03,490,2023-07-21,c,0,0,0.15,0,0.3615,1,4,0,0,0,0,0
2023-07-03,180,2023-07-21,p,0,0,0.05,0,1.3004,4,0,0,0,0,0,0
2023-07-03,185,2023-07-21,p,0,0,0.05,0,1.2595,31,0,0,0,0,0,0
2023-07-03,190,2023-07-21,p,0,0,0.05,0,1.2196,0,0,0,0,0,0,0
2023-07-03,195,2023-07-21,p,0,0,0.05,0,1.1809,0,0,0,0,0,0,0
2023-07-03,200,2023-07-21,p,0,0,0.05,0,1.1427,34,0,0,0,0,0,0
2023-07-03,205,2023-07-21,p,0,0,0.05,0,1.1052,10,0,0,0,0,0,0
2023-07-03,210,2023-07-21,p,0,0,0.05,0,1.0687,0,0,0,0,0,0,0
2023-07-03,215,2023-07-21,p,0,0,0.05,0,1.033,0,0,0,0,0,0,0
2023-07-03,220,2023-07-21,p,0,0,0.05,0,0.9982,25,0,0,0,0,0,0
2023-07-03,225,2023-07-21,p,0,0,0.05,0,0.9641,14,0,0,0,0,0,0
2023-07-03,230,2023-07-21,p,0,0,0.05,0,0.9309,10,0,0,0,0,0,0
2023-07-03,235,2023-07-21,p,0,0,0.05,0,0.8983,21,0,0,0,0,0,0
2023-07-03,240,2023-07-21,p,0,0,0.05,0,0.8665,10,0,0,0,0,0,0
2023-07-03,245,2023-07-21,p,0,0,0.05,0,0.8353,3,0,0,0,0,0,0
2023-07-03,250,2023-07-21,p,0,0,0.05,0,0.8048,6,0,0,0,0,0,0
2023-07-03,255,2023-07-21,p,0,0,0.05,0,0.7749,10,0,0,0,0,0,0
2023-07-03,260,2023-07-21,p,0,0,0.05,0,0.7456,40,0,0,0,0,0,0
2023-07-03,265,2023-07-21,p,0,0,0.05,0,0.7169,13,0,0,0,0,0,0
2023-07-03,270,2023-07-21,p,0,0,0.05,0,0.6887,24,0,0,0,0,0,0
2023-07-03,275,2023-07-21,p,0,0,0.05,0,0.6604,62,0,0,0,0,0,0
2023-07-03,280,2023-07-21,p,0,0,0.05,0,0.6325,33,0,0,0,0,0,0
2023-07-03,285,2023-07-21,p,0,0,0.05,0,0.6052,5,0,0,0,0,0,0
2023-07-03,290,2023-07-21,p,0,0,0.75,0,0.8256,25,0,-0.0001,0,0,-0.0003,-0.0017
2023-07-03,295,2023-07-21,p,0,0,0.74,0,0.7902,5,0,-0.0001,0,0,-0.0004,-0.0019
2023-07-03,300,2023-07-21,p,0,0,0.25,0,0.6368,445,0,0,0,0,0,-0.0001
2023-07-03,305,2023-07-21,p,0,0,0.1,0,0.5403,51,0,0,0,0,0,0
2023-07-03,310,2023-07-21,p,0,0,0.1,0,0.5133,58,0,0,0,0,0,0
2023-07-03,315,2023-07-21,p,0,0,0.15,0,0.5114,110,0,0,0,0,0,0
2023-07-03,320,2023-07-21,p,0,0,0.15,0,0.4838,174,0,0,0,0,0,-0.0001
2023-07-03,325,2023-07-21,p,0,0,0.05,0,0.4005,131,0,0,0,0,0,0
2023-07-03,330,2023-07-21,p,0,0,0.15,0,0.4299,268,0,0,0,0,0,-0.0001
2023-07-03,335,2023-07-21,p,0.05,0.05,0.1,0.3528,0.3825,91,0,-0.0071,0,0,-0.0183,-0.1471
2023-07-03,340,2023-07-21,p,0.05,0,0.74,0,0.4893,178,0,-0.0004,0,0,-0.0008,-0.0074
2023-07-03,345,2023-07-21,p,0,0,0.76,0,0.4571,109,0,-0.0004,0,0,-0.0009,-0.0091
2023-07-03,350,2023-07-21,p,0.05,0.05,0.3,0.2822,0.3603,127,0,-0.0146,0,0.0005,-0.0299,-0.3016
2023-07-03,355,2023-07-21,p,0.05,0,0.75,0,0.3935,196,0,-0.0007,0,0.0007,-0.0012,-0.0141
2023-07-03,360,2023-07-21,p,0.05,0.05,0.2,0.236,0.2847,480,0,-0.0143,0.0004,0.0065,-0.0238,-0.2944
2023-07-03,365,2023-07-21,p,0.05,0.05,0.75,0.2132,0.3303,329,0,-0.0307,0.0006,0.0111,-0.0473,-0.632
2023-07-03,370,2023-07-21,p,0.21,0.15,0.25,0.2214,0.2407,207,3,-0.0271,0.0015,0.0239,-0.0363,-0.5569
2023-07-03,375,2023-07-21,p,0.28,0.15,0.35,0.1958,0.2269,170,2,-0.0349,0.0027,0.0458,-0.0409,-0.715
2023-07-03,380,2023-07-21,p,0.29,0.2,0.4,0.1786,0.2036,501,3,-0.0456,0.0046,0.0677,-0.046,-0.9334
2023-07-03,385,2023-07-21,p,0.37,0.3,0.45,0.164,0.1787,166,2,-0.0624,0.0074,0.1116,-0.0528,-1.2754
2023-07-03,390,2023-07-21,p,0.52,0.45,0.54,0.1481,0.1558,215,17,-0.0894,0.0114,0.1488,-0.0616,-1.8272
2023-07-03,395,2023-07-21,p,0.79,0.7,0.85,0.132,0.14,239,11,-0.1408,0.0168,0.2102,-0.0761,-2.8755
2023-07-03,400,2023-07-21,p,1.28,1.19,1.28,0.1176,0.1215,298,25,-0.2275,0.0248,0.273,-0.0903,-4.6475
2023-07-03,405,2023-07-21,p,2.27,2.2,2.4,0.1051,0.111,165,14,-0.3796,0.0359,0.3382,-0.1025,-7.7637
2023-07-03,410,2023-07-21,p,4.24,4.15,4.45,0.0964,0.1049,33,10,-0.5876,0.0436,0.3601,-0.0972,-12.0573
2023-07-03,415,2023-07-21,p,7.65,7.5,7.8,0.0888,0.1015,9,2,-0.7907,0.0366,0.2816,-0.067,-16.3059
2023-07-03,420,2023-07-21,p,12.33,12.06,12.57,0,0.119,1,0,-0.9865,0.0207,0.1545,-0.0029,-20.4416
2023-07-03,425,2023-07-21,p,17.17,16.9,17.4,0,0.1511,0,0,-0.9928,0.008,0.0589,-0.0015,-20.814
2023-07-03,430,2023-07-21,p,22.47,22.19,22.7,0,0.1811,0,0,-0.9955,0.0022,0.0154,-0.0006,-21.1165
2023-07-03,435,2023-07-21,p,27.17,26.9,27.4,0,0.2097,0,0,-0.997,0.0005,0.0038,0,-21.393
2023-07-03,440,2023-07-21,p,32.65,32.38,32.89,0,0.2371,1,0,-0.9979,0.0001,0.0005,0.0004,-21.6574
2023-07-03,445,2023-07-21,p,36.92,36.65,37.15,0,0.2637,0,0,-0.9985,0,0.0001,0.0007,-21.9147
2023-07-03,450,2023-07-21,p,42.8,42.53,43.04,0,0.2891,0,0,-0.9988,0,0,0.0009,-22.1686
2023-07-03,455,2023-07-21,p,46.86,46.59,47.08,0,0.314,0,0,-0.9991,0,0,0.0011,-22.4203
2023-07-03,460,2023-07-21,p,52.17,51.9,52.4,0,0.3385,0,0,-0.9993,0,0,0.0013,-22.6703
2023-07-03,465,2023-07-21,p,56.69,56.43,56.92,0,0.3621,0,0,-0.9994,0,0,0.0014,-22.9197
2023-07-03,470,2023-07-21,p,62.17,61.9,62.4,0,0.3852,0,0,-0.9995,0,0,0.0015,-23.1682
2023-07-03,475,2023-07-21,p,66.61,66.34,66.84,0,0.408,0,0,-0.9996,0,0,0.0016,-23.4163
2023-07-03,480,2023-07-21,p,72.17,71.9,72.4,0,0.4302,0,0,-0.9996,0,0,0.0016,-23.6642
2023-07-03,485,2023-07-21,p,76.4,76.13,76.63,0,0.4517,0,0,-0.9997,0,0,0.0017,-23.9118
2023-07-03,490,2023-07-21,p,82.17,81.9,82.4,0,0.473,0,0,-0.9997,0,0,0.0018,-24.1592
2023-07-03,195,2023-08-18,c,212.03,211.27,212.75,0,1.0205,0,0,1,0,0,-0.029,0.2448
2023-07-03,200,2023-08-18,c,209.21,207.3,210,0,1.0029,0,10,1,0,0,-0.0297,0.2511
2023-07-03,205,2023-08-18,c,201.86,200.53,202.51,0,0.9439,0,0,1,0,0,-0.0305,0.2573
2023-07-03,210,2023-08-18,c,199.27,196.7,200.2,0,0.963,10,0,1,0,0,-0.0312,0.2636
2023-07-03,215,2023-08-18,c,192.04,190.55,192.72,0,0.8917,0,0,1,0,0,-0.0319,0.2699
2023-07-03,220,2023-08-18,c,189.34,188.2,190,0,0.8564,0,0,1,0,0,-0.0327,0.2762
2023-07-03,225,2023-08-18,c,182.23,179.98,183.34,0,0.903,0,0,1,0,0,-0.0334,0.2824
2023-07-03,230,2023-08-18,c,179.41,177.5,180.2,0,0.824,0,0,1,0,0,-0.0342,0.2887
2023-07-03,235,2023-08-18,c,176.78,175.1,177.84,0,0.8362,0,0,1,0,0,-0.0349,0.295
2023-07-03,240,2023-08-18,c,169.48,168.1,170.4,0,0.7907,21,0,1,0,0,-0.0357,0.3013
2023-07-03,245,2023-08-18,c,166.7,165.88,167.3,0,0.7106,0,0,1,0,0,-0.0364,0.3075
2023-07-03,250,2023-08-18,c,158.49,156.55,159.73,0,0.7774,0,0,1,0,0,-0.0371,0.3138
2023-07-03,255,2023-08-18,c,156.9,155.5,157.83,0,0.7108,0,0,1,0,0,-0.0379,0.3201
2023-07-03,260,2023-08-18,c,148.62,147.91,149,0,0.5985,0,0,1,0,0,-0.0386,0.3264
2023-07-03,265,2023-08-18,c,146.82,146.36,147.07,0,0.5433,0,0,1,0,0,-0.0394,0.3326
2023-07-03,270,2023-08-18,c,138.76,138.17,139.17,0,0.5608,0,0,1,0,0,-0.0401,0.3389
2023-07-03,275,2023-08-18,c,134.72,134.2,135.2,0,0.5511,0,0,1,0,0,-0.0409,0.3452
2023-07-03,280,2023-08-18,c,128.68,128.12,129.11,0,0.5232,0,0,1,0,0,-0.0416,0.3515
2023-07-03,285,2023-08-18,c,124.79,124.5,125.2,0,0.4958,0,0,1,0,0,-0.0423,0.3578
2023-07-03,290,2023-08-18,c,118.82,118.21,119.2,0,0.4688,0,0,1,0,0,-0.0431,0.364
2023-07-03,295,2023-08-18,c,114.86,114.3,115.3,0,0.4597,0,0,1,0,0,-0.0438,0.3703
2023-07-03,300,2023-08-18,c,108.79,108.31,109.3,0,0.4486,0,0,1,0,0,-0.0446,0.3766
2023-07-03,305,2023-08-18,c,104.93,104.4,105.4,0,0.4233,0,0,1,0,0,-0.0453,0.3829
2023-07-03,310,2023-08-18,c,98.96,98.31,99.5,0,0.4121,2,0,1,0,0,-0.0461,0.3891
2023-07-03,315,2023-08-18,c,95,94.4,95.6,0,0.3996,0,0,1,0,0.0001,-0.0468,0.3954
2023-07-03,320,2023-08-18,c,88.94,88.36,89.54,0,0.3797,0,0,0.9999,0,0.0001,-0.0468,0.4017
2023-07-03,325,2023-08-18,c,85.07,84.9,85.7,0,0.3622,0,0,0.9999,0,0.0003,-0.0483,0.4079
2023-07-03,330,2023-08-18,c,79.17,78.77,79.86,0,0.3486,1,0,0.9999,0,0.0009,-0.0492,0.4142
2023-07-03,335,2023-08-18,c,75.14,75,75.8,0,0.3255,0,0,0.9997,0.0001,0.0018,-0.0501,0.4203
2023-07-03,340,2023-08-18,c,71.08,71.03,71.85,0,0.3139,20,0,0.9989,0.0001,0.0047,-0.0506,0.4263
2023-07-03,345,2023-08-18,c,65.39,65.3,66,0.212,0.2962,200,0,0.9983,0.0002,0.0086,-0.0526,0.4322
2023-07-03,350,2023-08-18,c,61.04,61,61.81,0,0.2758,0,0,0.9956,0.0005,0.02,-0.0544,0.4371
2023-07-03,355,2023-08-18,c,55.73,55.4,56.1,0.1879,0.258,2,0,0.9935,0.0007,0.0256,-0.0571,0.4422
2023-07-03,360,2023-08-18,c,51.9,51.36,52.07,0.1988,0.2496,201,0,0.9863,0.0014,0.0524,-0.0613,0.4447
2023-07-03,365,2023-08-18,c,45.86,45.49,45.99,0.1956,0.2269,8,0,0.9771,0.0022,0.0797,-0.0665,0.4461
2023-07-03,370,2023-08-18,c,41.99,41.51,42.22,0.1813,0.2186,210,0,0.9636,0.0033,0.1163,-0.0729,0.4453
2023-07-03,375,2023-08-18,c,36.3,35.86,36.55,0.1718,0.2037,9,0,0.9439,0.0048,0.163,-0.0808,0.4411
2023-07-03,380,2023-08-18,c,32.17,31.87,32.48,0.1643,0.1875,80,0,0.9186,0.0065,0.2187,-0.0887,0.4339
2023-07-03,385,2023-08-18,c,26.83,26.58,27.07,0.1566,0.1729,31,6,0.8842,0.0087,0.2825,-0.0972,0.422
2023-07-03,390,2023-08-18,c,22.53,22.2,22.8,0.1449,0.1615,33,3,0.8417,0.0112,0.3502,-0.1044,0.4057
2023-07-03,395,2023-08-18,c,17.98,17.75,18.25,0.1371,0.1491,165,5,0.7877,0.0142,0.418,-0.1098,0.3832
2023-07-03,400,2023-08-18,c,13.97,13.7,14.1,0.1261,0.1345,174,1,0.7201,0.0177,0.4812,-0.112,0.3535
2023-07-03,405,2023-08-18,c,10.02,9.8,10.2,0.1168,0.1241,340,4,0.6339,0.0214,0.5471,-0.1095,0.3139
2023-07-03,410,2023-08-18,c,6.77,6.6,7,0.1081,0.115,230,4,0.5242,0.0248,0.5769,-0.1011,0.2617
2023-07-03,415,2023-08-18,c,4.08,3.96,4.26,0.1013,0.1066,182,2,0.3949,0.0258,0.566,-0.0866,0.1984
2023-07-03,420,2023-08-18,c,2.32,2.25,2.4,0.0977,0.1008,110,10,0.27,0.0229,0.4727,-0.0687,0.1362
2023-07-03,425,2023-08-18,c,1.23,1.14,1.34,0.0953,0.1007,136,1,0.1736,0.0176,0.3762,-0.0513,0.0878
2023-07-03,430,2023-08-18,c,0.65,0.55,0.7,0.0944,0.1005,96,0,0.1071,0.0124,0.271,-0.0364,0.0543
2023-07-03,435,2023-08-18,c,0.33,0.25,0.4,0.0945,0.1039,13,1,0.0628,0.0082,0.1772,-0.0242,0.0319
2023-07-03,440,2023-08-18,c,0.19,0,0.3,0,0.1136,61,0,0.0319,0.0047,0.1058,-0.0136,0.0162
2023-07-03,445,2023-08-18,c,0.08,0,0.74,0,0.155,11,0,0.0144,0.0024,0.0582,-0.0068,0.0073
2023-07-03,450,2023-08-18,c,0.03,0,0.75,0,0.1712,0,0,0.0064,0.0012,0.029,-0.0033,0.0032
2023-07-03,455,2023-08-18,c,0.01,0,0.76,0,0.1868,0,0,0.0026,0.0005,0.013,-0.0015,0.0014
2023-07-03,460,2023-08-18,c,0,0,0.75,0,0.2021,0,0,0.001,0.0002,0.0054,-0.0006,0.0005
2023-07-03,465,2023-08-18,c,0,0,0.76,0,0.217,0,0,0.0004,0.0001,0.002,-0.0002,0.0002
2023-07-03,470,2023-08-18,c,0,0,0.75,0,0.2313,0,0,0.0001,0,0.0007,-0.0001,0.0001
2023-07-03,195,2023-08-18,p,0,0,0.76,0,1.0248,1,0,0,0,0,-0.0001,-0.0009
2023-07-03,200,2023-08-18,p,0,0,0.74,0,0.9933,3,0,0,0,0,-0.0001,-0.001
2023-07-03,205,2023-08-18,p,0,0,0.76,0,0.9626,0,0,0,0,0,-0.0001,-0.0011
2023-07-03,210,2023-08-18,p,0,0,0.74,0,0.9326,0,0,0,0,0,-0.0001,-0.0011
2023-07-03,215,2023-08-18,p,0,0,0.75,0,0.9029,0,0,0,0,0,-0.0001,-0.0012
2023-07-03,220,2023-08-18,p,0,0,0.74,0,0.8737,0,0,0,0,0,-0.0001,-0.0013
2023-07-03,225,2023-08-18,p,0,0,0.75,0,0.8452,0,0,0,0,0,-0.0001,-0.0014
2023-07-03,230,2023-08-18,p,0,0,0.74,0,0.8174,0,0,0,0,0,-0.0001,-0.0015
2023-07-03,235,2023-08-18,p,0,0,0.75,0,0.7902,0,0,0,0,0,-0.0001,-0.0017
2023-07-03,240,2023-08-18,p,0,0,0.74,0,0.7636,0,0,0,0,0,-0.0001,-0.0018
2023-07-03,245,2023-08-18,p,0,0,0.75,0,0.7376,0,0,0,0,0,-0.0001,-0.002
2023-07-03,250,2023-08-18,p,0,0,0.74,0,0.7122,0,0,0,0,0,-0.0001,-0.0022
2023-07-03,255,2023-08-18,p,0,0,0.75,0,0.6872,0,0,0,0,0,-0.0001,-0.0024
2023-07-03,260,2023-08-18,p,0,0,0.74,0,0.6628,12,0,-0.0001,0,0,-0.0001,-0.0027
2023-07-03,265,2023-08-18,p,0,0,0.75,0,0.6389,11,0,-0.0001,0,0,-0.0001,-0.003
2023-07-03,270,2023-08-18,p,0,0,0.74,0,0.6151,0,0,-0.0001,0,0,-0.0001,-0.0033
2023-07-03,275,2023-08-18,p,0,0,0.75,0,0.5913,0,0,-0.0001,0,0,-0.0001,-0.0037
2023-07-03,280,2023-08-18,p,0,0,0.74,0,0.568,0,0,-0.0001,0,0,-0.0001,-0.0041
2023-07-03,285,2023-08-18,p,0,0,0.75,0,0.5452,0,0,-0.0001,0,0,-0.0002,-0.0046
2023-07-03,290,2023-08-18,p,0,0,0.76,0,0.5228,0,0,-0.0001,0,0,-0.0002,-0.0052
2023-07-03,295,2023-08-18,p,0,0,0.75,0,0.5007,0,0,-0.0001,0,0,-0.0002,-0.0059
2023-07-03,300,2023-08-18,p,0,0,0.51,0,0.4473,2,0,0,0,0,-0.0001,-0.0025
2023-07-03,305,2023-08-18,p,0,0,0.74,0,0.4572,0,0,-0.0001,0,0,-0.0002,-0.0077
2023-07-03,310,2023-08-18,p,0,0,0.76,0,0.4357,0,0,-0.0002,0,0,-0.0002,-0.0088
2023-07-03,315,2023-08-18,p,0,0,0.74,0,0.4145,11,0,-0.0002,0,0.0001,-0.0002,-0.0102
2023-07-03,320,2023-08-18,p,0.15,0.15,0.76,0.3077,0.3935,1,0,-0.0222,0,0.0001,-0.0292,-1.1966
2023-07-03,325,2023-08-18,p,0.15,0,0.74,0,0.3732,7,0,-0.0003,0,0.0003,-0.0003,-0.0141
2023-07-03,330,2023-08-18,p,0,0,0.75,0,0.3529,13,0,-0.0003,0,0.0009,-0.0003,-0.0168
2023-07-03,335,2023-08-18,p,0,0,0.74,0,0.3323,0,0,-0.0004,0.0001,0.0018,-0.0004,-0.0201
2023-07-03,340,2023-08-18,p,0.2,0.2,0.6,0.2503,0.2992,12,0,-0.0279,0.0001,0.0047,-0.0277,-1.4897
2023-07-03,345,2023-08-18,p,0.2,0,0.84,0,0.2994,9,0,-0.0007,0.0002,0.0086,-0.0006,-0.0391
2023-07-03,350,2023-08-18,p,0.1,0.1,0.85,0.1968,0.2789,374,0,-0.032,0.0005,0.02,-0.0269,-1.6991
2023-07-03,355,2023-08-18,p,0.1,0,1.09,0,0.274,19,0,-0.002,0.0007,0.0256,-0.0014,-0.1047
2023-07-03,360,2023-08-18,p,0.75,0.3,1.05,0.1957,0.2504,21,0,-0.0532,0.0014,0.0524,-0.0381,-2.8295
2023-07-03,365,2023-08-18,p,0.74,0.64,0.79,0.2062,0.2155,145,1,-0.0645,0.0022,0.0797,-0.0419,-3.4243
2023-07-03,370,2023-08-18,p,0.89,0.8,0.95,0.1957,0.2034,71,0,-0.0795,0.0033,0.1163,-0.0465,-4.2227
2023-07-03,375,2023-08-18,p,1.05,0.89,1.09,0.1806,0.1897,44,1,-0.0953,0.0048,0.163,-0.0494,-5.0523
2023-07-03,380,2023-08-18,p,1.26,1.2,1.4,0.1724,0.1802,37,1,-0.1231,0.0065,0.2187,-0.0566,-6.5285
2023-07-03,385,2023-08-18,p,1.61,1.43,1.68,0.1593,0.1674,42,12,-0.1536,0.0087,0.2825,-0.061,-8.1378
2023-07-03,390,2023-08-18,p,2.04,1.95,2.15,0.1507,0.1563,66,2,-0.1985,0.0112,0.3502,-0.0674,-10.5212
2023-07-03,395,2023-08-18,p,2.7,2.53,2.79,0.1389,0.1448,45,15,-0.2547,0.0142,0.418,-0.0717,-13.4985
2023-07-03,400,2023-08-18,p,3.48,3.3,3.6,0.1277,0.1339,165,5,-0.3297,0.0177,0.4812,-0.0745,-17.477
2023-07-03,405,2023-08-18,p,4.74,4.56,4.86,0.1176,0.1231,19,5,-0.4265,0.0214,0.5471,-0.0742,-22.6301
2023-07-03,410,2023-08-18,p,6.42,6.3,6.6,0.109,0.1143,4,6,-0.5446,0.0248,0.5769,-0.0693,-28.9517
2023-07-03,415,2023-08-18,p,9.09,8.93,9.34,0.0998,0.1077,1,0,-0.6742,0.0258,0.566,-0.0582,-35.9484
2023-07-03,420,2023-08-18,p,12.4,12.22,12.81,0.0881,0.1081,2,0,-0.7945,0.0229,0.4727,-0.0428,-42.5721
2023-07-03,425,2023-08-18,p,17.43,16.95,17.66,0,0.1157,0,0,-0.9767,0.0176,0.3762,-0.0033,-52.3723
