Trade Date,Strike,Expiry Date,Last Trade Price,Bid Price,Ask Price,Days to Expiry,TTM,Price,r,IV,F,Moneyness
2023-07-03,330,2023-10-20,83.210000,82.400000,83.900000,109 days,0.298630,83.150000,0.054000,0.295150,412.224480,-0.222475
2023-07-03,260,2023-12-15,155.190000,154.330000,156.150000,165 days,0.452055,155.240000,0.055300,0.504747,414.916759,-0.467396
2023-07-03,270,2023-12-15,145.360000,144.810000,146.530000,165 days,0.452055,145.670000,0.055300,0.476776,414.916759,-0.429656
2023-07-03,280,2023-12-15,135.950000,135.300000,137.020000,165 days,0.452055,136.160000,0.055300,0.450788,414.916759,-0.393288
2023-07-03,290,2023-12-15,126.350000,125.560000,127.280000,165 days,0.452055,126.420000,0.055300,0.419239,414.916759,-0.358197
2023-07-03,300,2023-12-15,115.010000,114.400000,115.700000,165 days,0.452055,115.050000,0.055300,0.346301,414.916759,-0.324295
2023-07-03,310,2023-12-15,105.960000,104.800000,106.300000,165 days,0.452055,105.550000,0.055300,0.325038,414.916759,-0.291506
2023-07-03,320,2023-12-15,96.450000,95.400000,96.900000,165 days,0.452055,96.150000,0.055300,0.305692,414.916759,-0.259757
2023-07-03,330,2023-12-15,87.010000,86.000000,87.400000,165 days,0.452055,86.700000,0.055300,0.284408,414.916759,-0.228985
2023-07-03,260,2024-01-19,151.580000,149.930000,153.690000,200 days,0.547945,151.810000,0.055300,0.385248,416.507282,-0.471222
2023-07-03,270,2024-01-19,142.270000,141.430000,143.310000,200 days,0.547945,142.370000,0.055300,0.256317,416.507282,-0.433482
2023-07-03,280,2024-01-19,136.330000,135.380000,137.210000,200 days,0.547945,136.295000,0.055300,0.394966,416.507282,-0.397114
2023-07-03,290,2024-01-19,126.910000,125.960000,127.780000,200 days,0.547945,126.870000,0.055300,0.373646,416.507282,-0.362023
2023-07-03,300,2024-01-19,117.430000,116.720000,118.150000,200 days,0.547945,117.435000,0.055300,0.351944,416.507282,-0.328121
2023-07-03,310,2024-01-19,107.890000,107.180000,108.600000,200 days,0.547945,107.890000,0.055300,0.327862,416.507282,-0.295332
2023-07-03,320,2024-01-19,98.410000,97.740000,99.170000,200 days,0.547945,98.455000,0.055300,0.306039,416.507282,-0.263583
2023-07-03,330,2024-01-19,87.730000,87.000000,88.400000,200 days,0.547945,87.700000,0.055300,0.259592,416.507282,-0.232811
2023-07-03,260,2024-06-21,159.260000,156.600000,161.500000,354 days,0.969863,159.050000,0.054300,0.359335,423.167721,-0.487087
2023-07-03,270,2024-06-21,150.590000,147.600000,152.500000,354 days,0.969863,150.050000,0.054300,0.346148,423.167721,-0.449347
2023-07-03,280,2024-06-21,141.650000,139.800000,143.500000,354 days,0.969863,141.650000,0.054300,0.342605,423.167721,-0.412979
2023-07-03,290,2024-06-21,132.310000,131.300000,133.900000,354 days,0.969863,132.600000,0.054300,0.326686,423.167721,-0.377888
2023-07-03,300,2024-06-21,123.650000,122.400000,125.000000,354 days,0.969863,123.700000,0.054300,0.312680,423.167721,-0.343986
2023-07-03,310,2024-06-21,114.700000,113.400000,116.000000,354 days,0.969863,114.700000,0.054300,0.296824,423.167721,-0.311196
2023-07-03,320,2024-06-21,105.860000,104.500000,107.500000,354 days,0.969863,106.000000,0.054300,0.284326,423.167721,-0.279448
2023-07-03,330,2024-06-21,96.340000,95.060000,97.550000,354 days,0.969863,96.305000,0.054300,0.259661,423.167721,-0.248676
2023-07-03,260,2025-01-17,163.310000,161.100000,166.000000,564 days,1.545205,163.550000,0.049400,0.327627,429.481179,-0.501896
2023-07-03,270,2025-01-17,155.560000,154.200000,156.900000,564 days,1.545205,155.550000,0.049400,0.324533,429.481179,-0.464156
2023-07-03,280,2025-01-17,146.920000,145.500000,148.500000,564 days,1.545205,147.000000,0.049400,0.313276,429.481179,-0.427788
2023-07-03,290,2025-01-17,138.210000,136.900000,139.500000,564 days,1.545205,138.200000,0.049400,0.298884,429.481179,-0.392697
2023-07-03,300,2025-01-17,129.710000,128.300000,131.000000,564 days,1.545205,129.650000,0.049400,0.287050,429.481179,-0.358795
2023-07-03,310,2025-01-17,121.180000,119.800000,122.200000,564 days,1.545205,121.000000,0.049400,0.273920,429.481179,-0.326006
2023-07-03,320,2025-01-17,112.870000,111.400000,113.900000,564 days,1.545205,112.650000,0.049400,0.263275,429.481179,-0.294257
2023-07-03,330,2025-01-17,104.020000,102.710000,104.800000,564 days,1.545205,103.755000,0.049400,0.247519,429.481179,-0.263485
